Period,Revenue,Cost_of_Goods_Sold,Gross_Profit,Operating_Expenses,Net_Income
Q1 2024,145000.00,87000.00,58000.00,35000.00,23000.00
Q2 2024,162000.00,95000.00,67000.00,38000.00,29000.00
Q3 2024,158000.00,92000.00,66000.00,36000.00,30000.00
Q4 2024,175000.00,102000.00,73000.00,42000.00,31000.00
Jan 2024,48000.00,28000.00,20000.00,12000.00,8000.00
Feb 2024,47000.00,29000.00,18000.00,11000.00,7000.00
Mar 2024,50000.00,30000.00,20000.00,12000.00,8000.00
Apr 2024,53000.00,31000.00,22000.00,13000.00,9000.00
May 2024,54000.00,32000.00,22000.00,12000.00,10000.00
Jun 2024,55000.00,32000.00,23000.00,13000.00,10000.00
Jul 2024,52000.00,30000.00,22000.00,12000.00,10000.00
Aug 2024,53000.00,31000.00,22000.00,12000.00,10000.00
Sep 2024,53000.00,31000.00,22000.00,12000.00,10000.00
Oct 2024,57000.00,33000.00,24000.00,14000.00,10000.00
Nov 2024,58000.00,34000.00,24000.00,14000.00,10000.00
Dec 2024,60000.00,35000.00,25000.00,14000.00,11000.00
